Frame, FPS
0,50.00
1,50.00
2,10.00
3,30.00
4,30.00
5,30.00
6,29.77
7,30.00
8,30.00
9,30.00
10,30.00
11,29.79
12,30.00
13,29.73
14,30.00
15,30.00
16,30.00
17,30.00
18,30.00
19,30.00
20,29.45
21,30.00
22,29.75
23,30.00
24,30.00
25,30.00
26,30.00
27,29.77
28,30.00
29,30.00
30,29.99
31,29.48
32,29.41
33,30.00
34,29.75
35,30.00
36,29.73
37,30.00
38,29.75
39,30.00
40,29.71
41,30.00
42,29.76
43,30.00
44,29.70
45,30.00
46,29.73
47,30.01
48,30.00
49,30.00
50,30.00
51,30.00
52,30.00
53,29.56
54,30.00
55,30.00
56,30.00
57,29.48
58,29.42
59,30.00
60,29.71
61,29.44
62,30.00
63,30.00
64,30.00
65,29.48
66,30.00
67,30.00
68,30.00
69,29.50
70,30.00
71,30.00
72,30.00
73,30.00
74,29.80
75,30.00
76,30.00
77,30.00
78,30.00
79,29.76
80,30.00
81,30.00
82,30.00
83,29.47
84,30.00
85,29.74
86,30.00
87,29.76
88,30.00
89,30.00
90,30.00
91,29.45
92,30.00
93,29.74
94,30.00
95,29.74
96,30.00
97,29.76
98,29.42
99,29.39
100,30.00
101,29.75
102,29.42
103,29.46
104,30.00
105,29.72
106,30.00
107,30.00
108,30.00
109,29.88
110,30.00
111,29.71
112,30.00
113,29.74
114,30.00
115,29.73
116,30.00
117,30.00
118,30.00
119,30.00
120,30.00
121,30.00
122,30.00
123,29.78
124,29.45
125,30.00
126,29.69
127,29.43
128,30.00
129,29.74
130,30.00
131,29.76
132,29.43
133,30.00
134,30.00
135,30.00
136,30.00
137,29.81
138,29.39
139,30.00
140,29.71
141,30.01
142,30.00
143,30.00
144,30.00
145,30.00
146,30.00
147,29.86
148,29.44
149,30.00
150,30.00
151,30.00
152,30.00
153,29.75
154,30.00
155,30.00
156,30.00
157,30.00
158,30.00
159,30.00
160,30.00
161,30.00
162,30.00
163,29.61
164,30.00
165,30.00
166,30.00
167,30.00
168,30.00
169,29.99
170,30.00
171,29.76
172,30.00
173,29.72
174,30.00
175,29.74
176,30.00
177,30.00
178,30.00
179,30.00
180,30.00
181,30.00
182,29.53
183,30.00
184,29.77
185,29.43
186,29.44
187,30.00
188,29.74
189,30.00
190,29.70
191,30.00
192,30.00
193,30.00
194,30.00
195,29.82
196,30.00
197,30.00
198,30.00
199,30.00
200,30.00
201,30.00
202,30.00
203,29.77
204,30.00
205,29.72
206,30.00
207,29.67
208,30.00
209,29.99
210,30.00
211,30.00
212,30.00
213,30.00
214,29.54
215,30.00
216,29.74
217,30.00
218,29.65
219,30.00
220,30.00
221,30.00
222,30.00
223,30.00
224,30.00
225,29.52
226,30.00
227,30.00
228,30.00
229,30.00
230,30.00
231,30.00
232,30.00
233,29.86
234,29.42
235,29.43
236,30.00
237,29.99
238,30.00
239,30.00
240,30.00
241,30.00
242,30.00
243,29.82
244,29.43
245,30.00
246,29.76
247,30.00
248,29.70
249,29.44
250,30.00
251,30.00
252,30.00
253,30.00
254,30.00
255,30.00
256,30.00
257,29.85
258,29.43
259,30.00
260,29.74
261,30.00
262,29.75
263,30.00
264,29.71
265,30.00
266,30.00
267,30.00
268,30.00
269,29.80
270,30.00
271,29.73
272,29.43
273,29.46
274,30.01
275,30.00
276,30.00
277,30.00
278,29.68
279,30.00
280,29.79
281,30.00
282,29.75
283,30.00
284,29.70
285,29.41
286,30.01
287,29.74
288,30.00
289,30.00
290,30.00
291,30.00
292,29.78
293,29.47
294,30.00
295,29.70
296,30.00
297,29.74
298,30.00
299,30.00
300,30.00
301,29.50
302,30.01
303,30.00
304,30.00
305,29.45
306,29.43
307,29.42
308,30.00
309,29.73
310,30.00
311,30.00
312,30.00
313,30.00
314,29.82
315,30.00
316,29.74
317,30.00
318,29.66
319,30.00
320,29.75
321,30.00
322,29.73
323,29.44
324,30.00
325,29.70
326,30.00
327,29.77
328,30.00
329,29.74
330,30.00
331,30.00
332,30.00
333,29.51
334,30.00
335,29.72
336,29.39
337,30.00
338,30.00
339,30.00
340,29.48
341,29.44
342,30.00
343,29.73
344,29.48
345,30.00
346,30.00
347,30.00
348,29.44
349,30.00
350,29.76
351,30.00
352,29.71
353,30.00
354,29.77
355,30.00
356,30.00
357,30.00
358,29.99
359,29.80
360,29.44
361,30.00
362,29.74
363,30.00
364,30.00
365,30.00
366,30.00
367,29.76
368,30.00
369,29.72
370,30.00
371,30.00
372,30.00
373,30.00
374,29.77
375,30.00
376,30.00
377,30.00
378,30.00
379,30.00
380,30.00
381
